"2015","2016","2017","2018","2019"
41,47,59,45,35
57,53,59,47,37
61,57,61,47,37
61,59,63,49,39
63,61,63,51,39
63,63,63,51,39
63,63,67,51,39
63,63,69,53,39
65,63,69,55,39
65,65,69,55,39
67,65,69,57,39
67,65,71,57,39
67,65,71,59,41
69,65,75,59,41
69,65,77,59,41
69,65,79,59,41
69,65,79,61,41
69,65,81,61,41
71,67,83,61,41
71,67,83,63,41
71,67,85,63,43
71,67,91,63,43
71,67,NA,63,43
73,67,NA,65,43
73,67,NA,65,43
73,69,NA,65,43
73,69,NA,67,43
75,69,NA,69,43
75,69,NA,69,43
75,69,NA,71,43
75,69,NA,73,43
77,69,NA,73,45
77,71,NA,73,45
77,71,NA,79,45
77,71,NA,NA,45
77,71,NA,NA,47
77,71,NA,NA,47
77,71,NA,NA,47
77,71,NA,NA,47
79,71,NA,NA,47
79,73,NA,NA,49
79,73,NA,NA,49
81,73,NA,NA,49
85,73,NA,NA,49
85,73,NA,NA,49
87,73,NA,NA,49
87,75,NA,NA,49
89,75,NA,NA,51
91,75,NA,NA,51
93,75,NA,NA,51
NA,75,NA,NA,51
NA,75,NA,NA,51
NA,75,NA,NA,53
NA,75,NA,NA,53
NA,75,NA,NA,53
NA,77,NA,NA,53
NA,79,NA,NA,53
NA,79,NA,NA,53
NA,79,NA,NA,55
NA,81,NA,NA,55
NA,81,NA,NA,57
NA,81,NA,NA,57
NA,81,NA,NA,57
NA,81,NA,NA,57
NA,81,NA,NA,57
NA,83,NA,NA,59
NA,83,NA,NA,59
NA,83,NA,NA,59
NA,85,NA,NA,61
NA,85,NA,NA,63
NA,85,NA,NA,63
NA,85,NA,NA,63
NA,89,NA,NA,65
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,71
NA,NA,NA,NA,71
NA,NA,NA,NA,73
NA,NA,NA,NA,91
NA,NA,NA,NA,35
NA,NA,NA,NA,37
NA,NA,NA,NA,37
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,55
NA,NA,NA,NA,55
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,61
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,65
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,71
NA,NA,NA,NA,71
NA,NA,NA,NA,73
NA,NA,NA,NA,91
NA,NA,NA,NA,35
NA,NA,NA,NA,37
NA,NA,NA,NA,37
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,55
NA,NA,NA,NA,55
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,61
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,65
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,71
NA,NA,NA,NA,71
NA,NA,NA,NA,73
NA,NA,NA,NA,91
NA,NA,NA,NA,35
NA,NA,NA,NA,37
NA,NA,NA,NA,37
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,55
NA,NA,NA,NA,55
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,61
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,65
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,71
NA,NA,NA,NA,71
NA,NA,NA,NA,73
NA,NA,NA,NA,91
NA,NA,NA,NA,35
NA,NA,NA,NA,37
NA,NA,NA,NA,37
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,55
NA,NA,NA,NA,55
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,61
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,65
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,71
NA,NA,NA,NA,71
NA,NA,NA,NA,73
NA,NA,NA,NA,91
NA,NA,NA,NA,35
NA,NA,NA,NA,37
NA,NA,NA,NA,37
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,39
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,41
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,43
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,45
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,47
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,49
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,51
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,53
NA,NA,NA,NA,55
NA,NA,NA,NA,55
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,57
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,59
NA,NA,NA,NA,61
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,63
NA,NA,NA,NA,65
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,67
NA,NA,NA,NA,71
